Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape.norovirus	kappa.norovirus	ucldMean.norovirus	ucldStdev.norovirus	rate.norovirus.mean	rate.norovirus.variance	rate.norovirus.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
17500000	-1.961948753741E4	-1.787053399956E4	-1.748953537846E3	-1.760066232888E4	1.161710526342E1	2.52169988939E-1	2.154954572737E1	7.065001219743E-3	6.279257108675E-1	6.656381738247E-3	2.375331087866E-5	6.886348198941E-1	-1.713467867364E3	2.143818914449E1	2.654334045554E1	6.128042729547E0	1.099136988059E1	4.995055598642E0	119	200	11	82	30
18000000	-1.971411010517E4	-1.792590244425E4	-1.788207660921E3	-1.76446014377E4	1.116294869115E1	2.410426044573E-1	2.426683279363E1	6.599634290002E-3	5.816658306951E-1	6.588461569961E-3	1.839797149603E-5	6.283214174021E-1	-1.748749537338E3	1.055508510891E1	3.378240730029E1	1.994653892541E1	2.484339354625E1	7.7905058883E0	34	147	131	66	64
18500000	-1.970609762584E4	-1.788491832646E4	-1.821179299383E3	-1.761398693281E4	1.31648198434E1	2.644160810137E-1	2.142950880341E1	6.63737407654E-3	5.954531847189E-1	6.408800615381E-3	1.882286247422E-5	6.523705995452E-1	-1.778333807888E3	1.204741868834E1	2.89686690925E1	9.266430837134E0	1.160016133242E1	1.519789716146E1	28	304	35	72	3
19000000	-1.967517371063E4	-1.786643836297E4	-1.808735347651E3	-1.759552177248E4	1.146642868794E1	2.672109496628E-1	2.154031620965E1	6.55904702904E-3	6.554624573392E-1	6.658121262998E-3	2.022262635649E-5	6.9120452307E-1	-1.771846648293E3	1.175332910254E1	3.264215114439E1	1.201329768363E1	1.822717717607E1	4.792274172987E0	33	241	83	50	35
19500000	-1.971136413373E4	-1.785919054658E4	-1.852173587155E3	-1.757561204549E4	1.003646266754E1	2.505503201818E-1	2.048468459477E1	5.792920706169E-3	5.555801131858E-1	5.806402040049E-3	1.138469806447E-5	5.79290463368E-1	-1.815428780466E3	1.275603978934E1	3.542107349007E1	1.803708399335E1	1.675285078693E1	6.19088292497E0	41	186	141	45	29
20000000	-1.969243271114E4	-1.784630379954E4	-1.846128911602E3	-1.757038643848E4	1.357108181189E1	2.638108044927E-1	2.126791594779E1	6.097946381795E-3	6.555359320634E-1	5.860885310046E-3	2.002905114011E-5	7.332558454784E-1	-1.80042726725E3	1.424627633185E1	3.196253156946E1	1.673672601387E1	2.417568927616E1	6.006681760049E0	34	256	98	18	36
20500000	-1.968833143845E4	-1.785788942403E4	-1.830442014419E3	-1.758166940581E4	1.138698841516E1	2.867006518742E-1	2.108268276455E1	6.50173356191E-3	6.071688526823E-1	6.25552773687E-3	1.820845203654E-5	6.65057809129E-1	-1.785247890635E3	8.744500647567E0	3.156957570192E1	3.359368974001E1	1.563454646123E1	7.639119943592E0	42	236	11	122	31
21000000	-1.968579668045E4	-1.785950878218E4	-1.826287898268E3	-1.757473989147E4	1.040593068138E1	2.693987533673E-1	2.077158920439E1	6.124539656463E-3	5.078642755828E-1	6.305058287085E-3	1.313440195303E-5	5.756003620403E-1	-1.786351872872E3	1.373548520006E1	3.539467668722E1	1.78703346238E1	8.133772560169E0	6.796972373096E0	39	232	142	6	23
21500000	-1.964547245243E4	-1.788188614415E4	-1.763586308286E3	-1.760768684074E4	1.21313843022E1	2.690193653261E-1	2.241777033223E1	7.181849997039E-3	5.808392716106E-1	6.913644516831E-3	2.142729591403E-5	6.317172357129E-1	-1.727086162632E3	1.31930030584E1	3.530090427498E1	1.419378954114E1	1.793278815401E1	2.930592870587E0	49	195	142	26	30
22000000	-1.967613308035E4	-1.78833269693E4	-1.79280611105E3	-1.75993351854E4	1.372554424754E1	2.630500010561E-1	2.126539218132E1	6.933279865275E-3	6.162103586034E-1	6.731996080355E-3	2.479289616786E-5	7.035140384208E-1	-1.757241906418E3	1.070102258121E1	3.664527089368E1	6.807874767007E0	1.09487956538E1	7.093710059306E0	39	240	9	141	13
